民國,舊受,新受,終結,未結,終結案件中平均一件所需日數,平均每法官每月辦結件數,上訴案件維持率,抗告案件維持率
82,19138,288278,286216,21200,52.03,82.25,63.49,79.95
83,21200,275957,275943,21214,56.24,71.07,67.43,78.54
84,21214,272198,270807,22605,58.84,64.94,67.17,77.79
85,22605,276067,269648,29024,66.96,63.97,66.14,76.96
86,29024,273607,268111,34520,74.84,63.69,66.39,79.83
87,34520,287408,283984,37944,92.72,65.23,62.59,80.34
88,37944,321512,318896,40560,101.69,70.23 ,60.32 ,83.67 
89,40560,335114,332564,43110,96.62,69.06 ,57.95 ,85.78 
90,43110,329240,328747,43603,94.84,65.25 ,60.80 ,84.37 
91,43627,330610,333053,41184,95.51,64.02 ,59.01 ,83.26 
92,41184,312719,323758,30145,92.46,61.69 ,59.96 ,82.25 
93,30145,291514,291841,29818,75.16,54.25 ,61.00 ,78.66 
94,29818,312702,311995,30525,73.22,57.51 ,62.49 ,79.46 
95,30525,347426,343635,34316,66.90 ,63.47 ,64.28 ,84.85 
96,34316,446131,443494,37953,62.93,80.17 ,63.92 ,84.80 
97,37953,445679,441365,42267,61.68,75.37 ,69.91 ,82.57 
98,42267,439753,444492,37528,61.46,69.66 ,73.15 ,81.84 
99,37528,439733,437693,39568,57.86,66.97 ,70.84 ,84.11 
100,39568,443485,441075,41978,59.61,64.45 ,70.96 ,87.25 
101,41978,434058,431196,44840,62.42,60.45 ,70.65 ,85.28 
102,44840,411846,412273,44413,64.11,56.14 ,72.93 ,84.24 
103,44413,434780,429826,49367,62.56,56.96 ,75.03 ,86.10 
