民國,舊受,新受,終結,未結,終結案件中平均一件所需日數,平均每法官每月辦結件數,上訴案件維持率,抗告案件維持率
82,4756,55456,54101,6111,55.63 ,38.82 ,71.43 ,91.14 
83,6111,54519,54698,5932,61.45 ,39.30 ,69.17 ,92.50 
84,5932,49993,49477,6448,66.11 ,35.30 ,65.79 ,89.93 
85,6448,48688,48412,6724,70.61 ,33.59 ,56.35 ,84.28 
86,6724,55612,53116,9220,70.27 ,36.35 ,58.82 ,88.98 
87,9220,49974,50585,8609,78.76 ,35.12 ,53.85 ,86.23 
88,8609,46807,46877,8539,84.80 ,30.88 ,61.70 ,82.29 
89,8535,43524,44144,7915,92.61 ,29.51 ,52.90 ,80.47 
90,7915,43552,44540,6927,84.40 ,28.12 ,55.31 ,80.58 
91,6927,37827,38443,6311,85.72 ,24.27 ,57.75 ,85.57 
92,6311,39354,38986,6679,80.16 ,25.37 ,60.97 ,86.84 
93,6679,30158,31268,5569,89.01 ,20.50 ,59.42 ,85.28 
94,5569,32929,32253,6245,83.82 ,21.45 ,58.13 ,88.60 
95,6245,38263,37876,6632,83.90 ,25.38 ,59.44 ,88.76 
96,6632,56730,57185,6177,79.01 ,37.26 ,61.75 ,83.14 
97,6177,49746,50637,5286,67.47 ,31.86 ,70.96 ,84.37 
98,5286,44337,44431,5192,62.53 ,26.04 ,78.00 ,86.62 
99,5192,41590,41545,5237,68.10 ,23.60 ,79.61 ,91.41 
100,5237,40287,40452,5072,68.92 ,21.85 ,85.02 ,93.80 
101,5072,38076,38384,4764,73.58 ,20.56 ,88.26 ,94.70 
102,4676,34986,35192,4470,78.53 ,18.40 ,90.68 ,92.12 
103,4470,33319,33526,4263,82.24 ,17.56 ,91.82 ,92.45 
