民國,死刑,無期徒刑,有期徒刑,二月未滿,二月以上六月未滿,六月以上一年未滿,一年以上二年未滿,二年以上三年未滿,三年,三年以上五年未滿,五年以上七年未滿,七年以上十年未滿,十年以上十五年以下,十五年以上,拘役,罰金,免刑,無罪,免訴,不受理,其他,保安處分人數,緩刑人數,累犯人數
75,0,1,318,0,3,1,16,59,33,66,30,80,30,0,0,0,0,20,1,16,0,1,151,25
76,0,0,322,0,0,9,28,40,22,74,33,97,19,0,0,0,0,43,0,0,1,4,605,40
77,0,1,377,0,3,9,92,52,21,86,46,55,13,0,0,0,1,30,0,6,0,6,1854,32
78,0,0,335,0,3,8,60,34,16,104,31,72,7,0,0,0,0,36,1,4,0,13,1059,36
79,0,1,313,0,3,4,36,41,20,61,29,105,14,0,0,0,0,35,0,23,4,8,871,44
80,0,1,302,0,6,14,69,33,27,70,31,38,14,0,0,1,0,46,0,19,3,19,668,27
81,0,0,205,0,4,8,30,19,15,50,16,48,15,0,1,0,0,28,1,13,0,8,587,23
82,0,0,231,0,2,7,39,27,12,42,14,65,23,0,1,0,0,34,2,17,0,7,636,29
83,0,0,233,0,3,8,24,23,13,35,26,69,32,0,0,1,1,24,0,8,0,13,722,36
84,0,0,268,0,0,4,11,28,16,72,36,79,22,0,0,0,0,33,0,14,1,7,634,28
85,0,0,236,0,0,3,10,32,16,56,26,64,29,0,1,0,0,23,1,17,2,17,,29
86,0,0,321,0,5,8,20,33,18,69,30,102,36,0,0,0,2,26,2,21,0,19,,52
87,0,0,234,0,14,5,10,24,17,43,29,72,20,0,0,1,0,28,0,10,0,9,,27
88,0,1,249,0,0,3,22,17,12,40,43,82,29,1,0,0,0,34,2,22,0,12,,34
89,0,0,285,0,0,0,24,30,10,51,29,96,45,0,0,0,0,43,2,22,2,17,,26
90,0,1,284,0,1,0,18,23,15,64,35,105,23,0,0,0,0,29,0,8,2,18,,32
91,0,0,233,0,3,2,14,27,16,60,37,58,16,0,0,0,0,32,0,28,1,11,,29
92,0,0,265,0,1,1,22,28,15,65,30,72,31,0,0,0,0,46,0,18,1,14,,24
93,0,0,245,0,0,0,12,24,8,54,32,85,28,2,0,0,0,28,0,24,1,9,,29
94,0,0,242,0,0,1,19,24,0,82,23,69,23,1,0,0,0,30,0,14,2,13,24,21
95,0,0,300,0,0,0,22,39,0,80,36,95,28,0,0,0,0,23,0,22,2,20,35,26
96,0,0,288,0,4,2,23,30,0,85,30,89,25,0,0,0,0,25,1,26,2,25,37,21
97,0,0,416,0,4,10,43,42,0,114,40,116,46,1,0,0,0,29,1,23,2,63,62,48
98,0,0,304,0,0,8,37,31,0,82,23,94,29,0,0,0,0,17,2,18,4,28,37,38
99,0,0,284,0,0,7,40,38,0,76,31,71,21,0,0,0,1,4,0,17,1,30,55,32
100,0,0,250,0,5,3,26,27,0,67,23,78,21,0,0,0,0,9,0,33,0,19,30,32
101,0,0,292,0,0,0,36,38,0,87,27,80,23,1,0,0,1,25,1,13,3,39,60,46
102,0,0,275,0,0,1,21,40,0,75,34,81,23,0,0,0,0,7,0,19,2,33,44,45
103,0,3,249,0,0,2,32,26,0,85,16,75,13,0,0,0,0,16,0,26,1,32,43,32
104,0,0,233,0,1,1,31,40,0,65,28,52,14,1,0,0,0,21,0,18,1,36,,24
