民國,死刑,無期徒刑,有期徒刑,拘役,罰金,免刑,無罪,免訴,不受理,其他,保安處分人數,緩刑人數,累犯人數
75,0,0,239,0,0,1,259,5,23,0,0,缺,1
76,0,0,365,0,0,0,260,1,28,2,2,167,9
77,0,0,267,0,0,1,231,0,22,0,0,50,13
78,0,0,259,0,0,1,216,2,17,1,6,47,8
79,0,0,226,0,0,3,230,3,16,0,0,36,6
80,0,0,220,0,0,3,257,4,16,1,1,52,0
81,0,0,212,0,0,1,321,3,18,8,1,56,8
82,0,0,228,0,0,1,275,3,31,2,1,56,5
83,0,0,183,0,0,2,217,2,32,0,1,67,15
84,0,0,218,0,0,1,216,2,28,5,2,80,7
85,0,0,140,0,0,3,170,8,22,2,0,55,12
86,0,0,163,0,0,2,205,8,22,7,0,64,2
87,0,0,160,0,0,2,228,7,14,1,1,54,4
88,0,0,203,0,0,10,400,6,56,17,0,90,6
89,0,0,204,0,0,21,367,3,20,1,2,92,9
90,0,0,176,0,0,10,368,6,29,1,2,67,4
91,0,0,194,0,0,15,410,4,89,4,1,81,9
92,0,0,463,0,0,37,531,15,50,0,0,347,8
93,0,0,244,0,0,18,608,14,49,0,4,120,7
94,0,0, 179,0,0,15,353,8,36,3,2,93,6
95,0,0, 269,0,0,8,329,23,39,0,0,136,12
96,0,0, 251,0,0,10,328,68,26,0,5,142,9
97,0,0, 242,0,1,15,387,41,66,3,7,109,10
98,0,0, 323,0,0,22,434,7,30,1,4,110,16
99,0,0, 379,0,0,22,404,19,74,0,19,135,11
100,0,0, 351,0,0,3,437,19,76,8,20,119,10
101,0,0, 439,1,0,24,378,9,28,4,15,124,15
102,0,0, 402,3,0,14,391,2,40,3,34,117,9
103,0,0, 478,0,0,25,283,10,44,4,38,229,17
,,,,,,,,,,,,,
,,,,,,,,,,,,,
