民國,總數,有罪,科刑人數,死刑,無期徒刑,有期徒刑,6月以下,逾6月－1年未滿,1年－2年未滿,2年－3年未滿,3年－5年未滿,5年－7年未滿,7年－10年未滿,10年－15年以下,逾15年,拘役,罰金,免除其刑,無罪,免訴,不受理,其他,純製賣運輸-總數,純製賣運輸-有罪,純製賣運輸-科刑人數,純製賣運輸-死刑,純製賣運輸-無期徒刑,純製賣運輸-有期徒刑,純製賣運輸-6月以下,純製賣運輸-逾6月-1年未滿,純製賣運輸-1年-2年未滿,純製賣運輸-2年-3年未滿,純製賣運輸-3年-5年未滿,純製賣運輸-5年-7年未滿,純製賣運輸-7年-10年未滿,純製賣運輸-10年-15年以下,純製賣運輸-逾15年,純製賣運輸-拘役,純製賣運輸-罰金,純製賣運輸-免刑,純製賣運輸-無罪,純製賣運輸-免訴,純製賣運輸-不受理,純製賣運輸-其他,製賣運輸兼施用-總數,製賣運輸兼施用-有罪,製賣運輸兼施用-科刑人數,製賣運輸兼施用-死刑,製賣運輸兼施用-無期徒刑,製賣運輸兼施用-有期徒刑,製賣運輸兼施用-6月以下,製賣運輸兼施用-逾6月-1年未滿,製賣運輸兼施用-1年-2年未滿,製賣運輸兼施用-2年-3年未滿,製賣運輸兼施用-3年-5年未滿,製賣運輸兼施用-5年-7年未滿,製賣運輸兼施用-7年-10年未滿,製賣運輸兼施用-10年-15年以下,製賣運輸兼施用-逾15年,製賣運輸兼施用-拘役,製賣運輸兼施用-罰金,製賣運輸兼施用-免刑,製賣運輸兼施用-無罪,製賣運輸兼施用-免訴,製賣運輸兼施用-不受理,製賣運輸兼施用-其他,持有-總數,持有-有罪,持有-科刑人數,持有-死刑,持有-無期徒刑,持有-有期徒刑,持有-6月以下,持有-逾6月-1年未滿,持有-1年-2年未滿,持有-2年-3年未滿,持有-3年-5年未滿,持有-5年-7年未滿,持有-7年-10年未滿,持有-10年-15年以下,持有-逾15年,持有-拘役,持有-罰金,持有-免刑,持有-無罪,持有-免訴,持有-不受理,持有-其他
94,153,132,132,0,0,132,30,7,11,16,18,42,8,0,0,0,0,0,19,0,1,1,87,76,76,0,0,76,0,1,3,13,11,41,7,0,0,0,0,0,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,190,158,157,0,0,157,37,6,7,9,14,71,13,0,0,0,0,1,25,2,3,2,113,97,96,0,0,96,1,0,0,7,9,66,13,0,0,0,0,1,14,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,317,254,254,0,0,254,65,6,19,32,43,74,15,0,0,0,0,0,62,0,1,0,221,166,166,0,0,166,2,1,10,32,35,72,14,0,0,0,0,0,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,455,398,398,0,0,398,93,12,24,55,36,149,26,2,1,0,0,0,55,0,2,0,313,272,272,0,0,272,1,7,21,45,26,143,26,2,1,0,0,0,39,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,678,591,591,0,0,591,193,13,43,110,56,148,25,3,0,0,0,0,76,2,4,5,426,356,356,0,0,356,3,1,31,105,44,145,24,3,0,0,0,0,59,2,4,5,2,2,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1287,1136,1136,0,0,1136,342,29,173,246,136,172,32,6,0,0,0,0,136,0,12,3,864,738,738,0,0,738,6,13,150,241,119,171,32,6,0,0,0,0,113,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,142,142,0,0,142,131,6,5,0,0,0,0,0,0,0,0,0,5,0,1,0
100,1912,1747,1747,0,0,1747,662,51,274,371,146,199,37,7,0,0,0,0,142,3,16,4,1132,1002,1002,0,0,1002,5,20,243,355,139,196,37,7,0,0,0,0,115,1,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,386,386,0,0,386,354,18,12,2,0,0,0,0,0,0,0,0,3,0,4,0
101,2221,2023,2022,0,0,2021,810,68,423,368,133,193,22,4,0,1,0,1,175,0,19,4,1294,1121,1121,0,0,1121,1,37,378,359,128,192,22,4,0,0,0,0,158,0,13,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,559,553,553,0,0,552,506,20,25,1,0,0,0,0,0,1,0,0,5,0,1,0
102,2810,2629,2629,0,0,2626,1338,72,444,456,147,153,13,3,0,3,0,0,158,4,17,2,1331,1179,1179,0,0,1178,4,22,401,448,139,148,13,3,0,1,0,0,139,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,804,804,0,0,803,742,35,25,1,0,0,0,0,0,1,0,0,2,3,2,0
103,2623,2388,2388,0,0,2388,1047,83,515,457,123,146,17,0,0,0,0,0,205,2,24,4,1443,1248,1248,0,0,1248,3,33,485,449,118,143,17,0,0,0,0,0,172,0,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,730,730,0,0,730,673,35,19,3,0,0,0,0,0,0,0,0,11,0,2,0
