民國,總數,有罪,科刑人數,死刑,無期徒刑,有期徒刑,6月以下,逾6月－1年未滿,1年－2年未滿,2年－3年未滿,3年－5年未滿,5年－7年未滿,7年－10年未滿,10年－15年以下,逾15年,拘役,罰金,免除其刑,無罪,免訴,不受理,其他,純製賣運輸-總數,純製賣運輸-有罪,純製賣運輸-科刑人數,純製賣運輸-死刑,純製賣運輸-無期徒刑,純製賣運輸-有期徒刑,純製賣運輸-6月以下,純製賣運輸-逾6月-1年未滿,純製賣運輸-1年-2年未滿,純製賣運輸-2年-3年未滿,純製賣運輸-3年-5年未滿,純製賣運輸-5年-7年未滿,純製賣運輸-7年-10年未滿,純製賣運輸-10年-15年以下,純製賣運輸-逾15年,純製賣運輸-拘役,純製賣運輸-罰金,純製賣運輸-免刑,純製賣運輸-無罪,純製賣運輸-免訴,純製賣運輸-不受理,純製賣運輸-其他,製賣運輸兼施用-總數,製賣運輸兼施用-有罪,製賣運輸兼施用-科刑人數,製賣運輸兼施用-死刑,製賣運輸兼施用-無期徒刑,製賣運輸兼施用-有期徒刑,製賣運輸兼施用-6月以下,製賣運輸兼施用-逾6月-1年未滿,製賣運輸兼施用-1年-2年未滿,製賣運輸兼施用-2年-3年未滿,製賣運輸兼施用-3年-5年未滿,製賣運輸兼施用-5年-7年未滿,製賣運輸兼施用-7年-10年未滿,製賣運輸兼施用-10年-15年以下,製賣運輸兼施用-逾15年,製賣運輸兼施用-拘役,製賣運輸兼施用-罰金,製賣運輸兼施用-免刑,製賣運輸兼施用-無罪,製賣運輸兼施用-免訴,製賣運輸兼施用-不受理,製賣運輸兼施用-其他,施用-總數,施用-有罪,施用-科刑人數,施用-死刑,施用-無期徒刑,施用-有期徒刑,施用-6月以下,施用-逾6月-1年未滿,施用-1年-2年未滿,施用-2年-3年未滿,施用-3年-5年未滿,施用-5年-7年未滿,施用-7年-10年未滿,施用-10年-15年以下,施用-逾15年,施用-拘役,施用-罰金,施用-免刑,施用-無罪,施用-免訴,施用-不受理,施用-其他,持有-總數,持有-有罪,持有-科刑人數,持有-死刑,持有-無期徒刑,持有-有期徒刑,持有-6月以下,持有-逾6月-1年未滿,持有-1年-2年未滿,持有-2年-3年未滿,持有-3年-5年未滿,持有-5年-7年未滿,持有-7年-10年未滿,持有-10年-15年以下,持有-逾15年,持有-拘役,持有-罰金,持有-免刑,持有-無罪,持有-免訴,持有-不受理,持有-其他
94,14778,14208,14191,0,34,14079,1303,8921,3305,56,35,20,189,249,1,75,3,17,130,106,327,7,568,479,479,0,34,445,1,3,2,0,19,13,184,222,1,0,0,0,79,1,8,1,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,13437,13004,12988,0,0,12984,909,8894,3149,28,2,2,0,0,0,4,0,16,24,95,309,5,535,514,514,0,0,440,391,17,21,8,3,0,0,0,0,71,3,0,7,7,7,0
95,17029,16342,16325,0,65,16093,1438,9581,4350,55,38,23,280,326,2,166,1,17,146,136,401,4,776,683,683,0,64,619,0,0,3,3,32,13,278,288,2,0,0,0,75,5,12,1,6,6,6,0,1,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,15267,14750,14733,0,0,14725,958,9551,4187,28,1,0,0,0,0,8,0,17,26,117,371,3,713,683,683,0,0,524,476,17,19,7,3,2,0,0,0,158,1,0,10,7,13,0
96,19232,18341,18337,0,47,18116,3646,10371,3278,45,29,16,248,398,85,172,2,4,203,253,423,12,930,785,785,0,47,738,0,1,3,1,20,9,243,376,85,0,0,0,119,7,16,3,2,2,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,17305,16629,16625,0,0,16615,3135,10313,3146,19,2,0,0,0,0,10,0,4,39,232,396,9,753,715,715,0,0,551,506,27,12,4,1,1,0,0,0,162,2,0,20,13,5,0
97,29168,28286,28285,0,39,28055,3593,19490,3914,34,26,21,188,368,421,188,3,1,279,110,483,10,1235,1009,1009,0,38,971,2,1,1,2,14,12,184,334,421,0,0,0,205,2,16,3,13,10,10,0,1,9,0,0,0,0,0,0,1,8,0,0,0,0,1,1,0,1,26784,26191,26190,0,0,26187,3007,19382,3790,3,4,1,0,0,0,2,1,1,42,93,452,6,824,799,799,0,0,611,570,25,12,2,2,0,0,0,0,186,2,0,9,6,10,0
98,25397,24624,24622,0,28,24439,2405,18330,2675,27,22,26,169,263,522,153,2,2,403,71,279,20,1356,993,993,0,28,965,2,0,1,0,11,22,164,243,522,0,0,0,323,8,28,4,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,23023,22670,22668,0,0,22666,1868,18265,2529,3,1,0,0,0,0,2,0,2,48,47,243,15,760,739,739,0,0,586,527,23,19,12,5,0,0,0,0,151,2,0,9,7,4,1
99,18966,18271,18268,0,14,18111,1947,12676,2010,21,54,47,444,249,663,139,4,3,402,52,239,2,1814,1452,1452,0,13,1439,3,4,4,3,47,39,440,236,663,0,0,0,331,5,25,1,2,2,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16211,15932,15929,0,0,15928,1475,12601,1848,4,0,0,0,0,0,1,0,3,39,31,208,1,680,661,661,0,0,520,464,17,30,6,2,1,0,0,0,138,3,0,7,9,3,0
100,17210,16614,16611,0,10,16517,1654,11167,2028,20,59,54,625,235,675,84,0,3,332,30,225,9,1952,1647,1646,0,9,1637,1,2,4,5,53,44,624,229,675,0,0,1,277,3,20,5,2,2,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14536,14280,14278,0,0,14277,1311,11087,1876,2,1,0,0,0,0,1,0,2,39,18,196,3,513,500,500,0,0,417,339,18,48,10,2,0,0,0,0,83,0,0,2,5,5,1
101,16323,15754,15754,0,10,15673,1685,10577,1860,15,54,64,676,176,566,69,2,0,345,19,197,8,1820,1517,1517,0,9,1508,0,0,1,3,46,59,671,164,564,0,0,0,280,1,19,3,4,4,4,0,1,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,13730,13507,13507,0,0,13507,1317,10483,1706,0,1,0,0,0,0,0,0,0,46,10,163,4,552,531,531,0,0,460,354,16,79,8,3,0,0,0,0,69,2,0,4,6,11,0
102,14089,13592,13592,0,14,13525,1698,8775,1614,14,90,40,733,100,461,51,2,0,292,31,166,8,1665,1419,1419,0,14,1405,1,4,1,2,80,35,729,93,460,0,0,0,221,3,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11746,11525,11525,0,0,11524,1362,8690,1471,1,0,0,0,0,0,1,0,0,55,20,143,3,490,473,473,0,0,421,317,10,78,7,8,1,0,0,0,50,2,0,5,8,3,1
103,11447,11038,11037,0,7,10959,1440,6859,1438,21,46,31,702,53,369,68,3,1,211,21,170,7,1370,1199,1198,0,7,1191,0,1,2,7,37,25,701,49,369,0,0,1,145,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9459,9254,9254,0,0,9254,1131,6782,1341,0,0,0,0,0,0,0,0,0,47,14,139,5,455,432,432,0,0,361,281,9,54,11,5,1,0,0,0,68,3,0,13,4,5,1
