機關別,死刑之執行,徒刑拘役執行完畢,罰金易服勞役執行完畢,假釋(縮短刑期),執行完畢(縮短刑期),無期徒刑(假釋),有期徒刑(假釋),停止刑之執行,保外醫治,移送觀察勒戒或強制戒治,脫逃,死亡,本監移送他監執行,借提返回原監所,借提出監,其他
臺灣臺北監獄,0,3888,885,377,512,12,166,168,14,68,0,26,2320,1471,194,1007
臺灣桃園監獄,0,1158,198,208,87,0,2,6,9,16,0,5,2265,634,91,69
臺灣桃園女子監獄,0,642,41,169,105,1,0,17,15,10,0,0,294,22,45,19
臺灣新竹監獄,0,814,207,309,321,0,2,12,2,11,0,1,272,144,437,38
臺灣臺中監獄,0,3523,210,1046,731,20,93,77,30,55,0,18,1500,1112,516,155
臺灣臺中女子監獄,0,241,13,232,98,1,1,1,11,3,0,1,18,40,68,8
臺灣彰化監獄,0,1050,62,376,501,2,0,28,10,8,0,0,455,165,440,49
臺灣雲林監獄,0,263,45,345,151,0,0,13,3,6,0,0,34,0,230,5
臺灣雲林第二監獄,0,638,63,295,272,0,0,23,5,41,0,2,959,143,385,34
臺灣嘉義監獄,0,1096,65,359,263,15,0,23,18,15,0,3,523,57,476,35
臺灣臺南監獄,0,1638,248,556,495,18,1,206,15,27,0,5,519,367,359,59
臺灣明德外役監獄,0,1,16,247,8,0,0,0,2,0,0,0,11,0,3,2
臺灣高雄監獄,0,1141,137,316,163,13,5,71,5,9,2,9,1581,129,43,11
臺灣高雄第二監獄,0,1324,182,205,258,0,2,70,9,30,0,5,2534,284,110,23
臺灣高雄女子監獄,0,464,16,189,70,6,0,24,12,4,0,1,31,1,51,3
臺灣屏東監獄,0,1330,76,622,386,0,0,24,10,14,0,2,582,120,155,39
臺灣臺東監獄,0,1147,133,772,90,14,0,22,12,9,0,3,305,43,439,34
臺灣花蓮監獄,0,636,60,182,107,24,4,41,2,6,0,1,197,0,91,12
臺灣自強外役監獄,0,0,16,210,13,0,0,0,0,0,0,0,9,0,4,0
臺灣宜蘭監獄,0,487,40,380,164,16,2,23,13,10,0,1,547,45,715,29
臺灣基隆監獄,0,361,8,112,96,0,3,7,2,4,0,1,378,117,49,2
臺灣澎湖監獄,0,77,25,232,87,48,1,1,1,0,0,0,30,0,62,4
臺灣綠島監獄,0,27,0,4,10,2,0,0,0,0,0,0,19,0,7,0
明陽中學,0,6,0,71,11,0,0,0,0,0,0,0,9,0,23,0
福建金門監獄,0,51,7,13,6,0,0,1,1,0,0,0,5,0,5,5
,,22003,2753,7827,5005,192,282,858,201,346,2,84,15397,4894,4998,1642
