民國,上年底留監人數,本年入監人數,本年出獄人數,新入監人數,本年年底留監人數,本年執行人數
75,25641,35081,35476,23453,25246,60722
76,25246,31322,34521,19240,22047,56568
77,22047,29925,29182,13886,13790,51972
78,13790,27962,23627,19375,18125,41752
79,18144,30647,25828,21154,22963,48791
80,22963,30916,30806,20871,23073,53879
81,23073,39233,32700,24865,29606,62306
82,29606,53248,42908,34229,39946,82854
83,39946,62937,60067,36141,42816,102883
84,42816,57781,60680,31842,39917,100597
85,39917,54463,52767,32654,41613,94380
86,41613,57547,53623,35405,45537,99160
87,45537,49190,53912,28076,40815,94727
88,40815,41731,44268,22790,38278,82546
89,38278,40587,41254,23147,37611,78865
90,37611,42450,40808,24760,39253,80061
91,39253,46368,45796,27003,39825,85621
92,39825,45670,44250,28966,41245,85495
93,41245,53427,48717,33346,45955,94672
94,45955,56429,53605,33193,48779,102384
95,48779,64959,62357,37607,51381,113738
96,51381,58559,69479,34991,40461,109940
97,40461,78106,65859,48234,52708,118567
98,52708,69300,66783,42336,55225,122008
99,55255,64102,62239,37159,57088,119357
100,57088,59869,59478,36459,57479,116957
101,57479,58074,56879,35329,58674,115553
102,58674,56343,56452,34167,58565,115017
103,58565,54141,55073,34385,57633,112706
104,57633,53776,54461,33864,56948,111409
