民國,不識字,國小,國中,高中職,大專以上,自修,不詳
75,902,8648,7763,4953,1143,44,0
76,756,6761,6552,4239,912,20,0
77,467,4539,5111,3127,633,9,0
78,615,5849,7601,4534,773,1,2
79,631,6116,8467,5034,903,3,0
80,518,5281,8829,5197,1043,0,3
81,443,5864,11189,6307,1054,7,1
82,586,7140,16119,9071,1308,4,1
83,598,7300,16923,9981,1331,3,5
84,625,6438,14613,8711,1252,0,203
85,651,6588,14381,9453,1505,4,72
86,576,6658,15959,10380,1720,85,27
87,511,5144,12427,8527,1437,6,24
88,412,4278,9612,7052,1386,6,44
89,401,4240,9746,7329,1405,7,19
90,383,4416,10826,7832,1274,2,27
91,393,4587,12204,8510,1273,2,34
92,431,4897,13095,9078,1433,2,30
93,349,4812,15586,11024,1516,0,59
94,399,4576,15341,11305,1463,4,105
95,335,5030,17270,13054,1766,1,151
96,335,4652,15967,12319,1657,0,61
97,373,6324,22122,17111,2244,0,60
98,348,5603,18396,15717,2224,0,48
99,235,4791,16156,13732,2176,2,67
100,216,4374,15906,13674,2212,1,76
101,184,4061,15445,13210,2342,1,86
102,172,3853,15082,12700,2322,1,37
103,177,4051,14823,13074,2235,0,25
104,190,3738,14599,13114,2201,0,22
