民國,舊受,新受,終結,未結,終結案件中平均一件所需日數,平均每法官每月辦結件數
82,548,9144,8741,951,18.85,21.42
83,951,9268,8716,1503,21.56,22.02
84,1503,9035,8203,2335,23.28,20.64
85,2335,8981,7803,3513,26.98,20.18
86,3513,8974,9141,3346,21.65,20.24
87,3346,10219,5880,7685,33.61,15.15
88,7685,9229,8962,7952,26.39,20.97
89,7952,9291,9575,7668,35.37,19.55
90,7668,9260,9516,7412,38.52,19.25
91,7412,8538,8947,7003,41.05,19.38
92,7003,8655,8852,6806,44.79,19.43
93,6806,7944,8353,6397,41.49,19.28 
94,6397,7392,8708,5081,34.90 ,19.21 
95,5081,8466,8654,4893,34.68 ,18.78 
96,4893,9177,9315,4755,30.37 ,20.67 
97,4755,9355,8820,5290,30.89 ,20.48 
98,5290,8630,9484,4436,26.43 ,20.98 
99,4436,8621,10061,996,25.17 ,20.53 
100,2996,8308,9110,2194,27.07 ,19.78 
101,2194,7532,8608,1118,28.95 ,17.22 
102,1118,6879,7172,825,32.06 ,14.64 
103,825,6268,6229,864,28.63 ,13.80 
