縣市別,犯罪原因,發生數,破獲數,破獲率
新北市,普通竊盜,6237.0,5658.0,90.72
新北市,機車竊盜,2553.0,2449.0,95.93
新北市,汽車竊盜,457.0,490.0,107.22
新北市,總計,9251.0,8599.0,92.95
新北市,重大竊盜,4.0,2.0,50.0
臺北市,普通竊盜,5139.0,4282.0,83.32
臺北市,機車竊盜,836.0,785.0,93.9
臺北市,汽車竊盜,96.0,106.0,110.42
臺北市,總計,6080.0,5186.0,85.3
臺北市,重大竊盜,9.0,13.0,144.44
桃園市,普通竊盜,2405.0,2196.0,91.31
桃園市,機車竊盜,2769.0,2524.0,91.15
桃園市,汽車竊盜,1061.0,782.0,73.7
桃園市,總計,6237.0,5504.0,88.25
桃園市,重大竊盜,2.0,2.0,100.0
臺中市,普通竊盜,4106.0,3241.0,78.93
臺中市,機車竊盜,1367.0,1344.0,98.32
臺中市,汽車竊盜,255.0,232.0,90.98
臺中市,總計,5729.0,4819.0,84.12
臺中市,重大竊盜,1.0,2.0,200.0
臺南市,普通竊盜,3998.0,2480.0,62.03
臺南市,機車竊盜,1033.0,783.0,75.8
臺南市,汽車竊盜,299.0,176.0,58.86
臺南市,總計,5334.0,3444.0,64.57
臺南市,重大竊盜,4.0,5.0,125.0
高雄市,普通竊盜,4297.0,3306.0,76.94
高雄市,機車竊盜,2199.0,1940.0,88.22
高雄市,汽車竊盜,647.0,532.0,82.23
高雄市,總計,7145.0,5780.0,80.9
高雄市,重大竊盜,2.0,2.0,100.0
臺灣省,普通竊盜,11898.0,10066.0,84.6
臺灣省,機車竊盜,3581.0,3454.0,96.45
臺灣省,汽車竊盜,1669.0,1469.0,88.02
臺灣省,總計,17160.0,14997.0,87.4
臺灣省,重大竊盜,12.0,8.0,66.67
  宜蘭縣,普通竊盜,856.0,679.0,79.32
  宜蘭縣,機車竊盜,231.0,242.0,104.76
  宜蘭縣,汽車竊盜,121.0,111.0,91.74
  宜蘭縣,總計,1209.0,1033.0,85.44
  宜蘭縣,重大竊盜,1.0,1.0,100.0
  新竹縣,普通竊盜,825.0,765.0,92.73
  新竹縣,機車竊盜,478.0,466.0,97.49
  新竹縣,汽車竊盜,366.0,305.0,83.33
  新竹縣,總計,1669.0,1536.0,92.03
  新竹縣,重大竊盜,0.0,0.0,0.0
  苗栗縣,普通竊盜,1103.0,968.0,87.76
  苗栗縣,機車竊盜,279.0,263.0,94.27
  苗栗縣,汽車竊盜,168.0,161.0,95.83
  苗栗縣,總計,1551.0,1393.0,89.81
  苗栗縣,重大竊盜,1.0,1.0,100.0
　彰化縣,普通竊盜,2027.0,1758.0,86.73
　彰化縣,機車竊盜,348.0,391.0,112.36
　彰化縣,汽車竊盜,141.0,184.0,130.5
　彰化縣,總計,2516.0,2333.0,92.73
　彰化縣,重大竊盜,0.0,0.0,0.0
　南投縣,普通竊盜,959.0,628.0,65.48
　南投縣,機車竊盜,298.0,294.0,98.66
　南投縣,汽車竊盜,126.0,119.0,94.44
　南投縣,總計,1384.0,1042.0,75.29
　南投縣,重大竊盜,1.0,1.0,100.0
　雲林縣,普通竊盜,1065.0,999.0,93.8
　雲林縣,機車竊盜,260.0,237.0,91.15
　雲林縣,汽車竊盜,109.0,91.0,83.49
　雲林縣,總計,1436.0,1327.0,92.41
　雲林縣,重大竊盜,2.0,0.0,0.0
　嘉義縣,普通竊盜,855.0,705.0,82.46
　嘉義縣,機車竊盜,126.0,127.0,100.79
　嘉義縣,汽車竊盜,75.0,67.0,89.33
　嘉義縣,總計,1058.0,900.0,85.07
　嘉義縣,重大竊盜,2.0,1.0,50.0
　屏東縣,普通竊盜,1276.0,983.0,77.04
　屏東縣,機車竊盜,494.0,453.0,91.7
　屏東縣,汽車竊盜,242.0,222.0,91.74
　屏東縣,總計,2012.0,1658.0,82.41
　屏東縣,重大竊盜,0.0,0.0,0.0
　臺東縣,普通竊盜,244.0,215.0,88.11
　臺東縣,機車竊盜,128.0,111.0,86.72
　臺東縣,汽車竊盜,19.0,19.0,100.0
　臺東縣,總計,392.0,346.0,88.27
　臺東縣,重大竊盜,1.0,1.0,100.0
　花蓮縣,普通竊盜,760.0,623.0,81.97
　花蓮縣,機車竊盜,148.0,140.0,94.59
　花蓮縣,汽車竊盜,75.0,58.0,77.33
　花蓮縣,總計,983.0,821.0,83.52
　花蓮縣,重大竊盜,0.0,0.0,0.0
　澎湖縣,普通竊盜,117.0,103.0,88.03
　澎湖縣,機車竊盜,24.0,20.0,83.33
　澎湖縣,汽車竊盜,8.0,8.0,100.0
　澎湖縣,總計,150.0,132.0,88.0
　澎湖縣,重大竊盜,1.0,1.0,100.0
　基隆市,普通竊盜,603.0,526.0,87.23
　基隆市,機車竊盜,245.0,231.0,94.29
　基隆市,汽車竊盜,25.0,29.0,116.0
　基隆市,總計,875.0,787.0,89.94
　基隆市,重大竊盜,2.0,1.0,50.0
　新竹市,普通竊盜,656.0,602.0,91.77
　新竹市,機車竊盜,408.0,390.0,95.59
　新竹市,汽車竊盜,117.0,71.0,60.68
