年,犯罪原因,發生數,破獲數,破獲率
1996.0,普通竊盜,59039.0,18478.0,31.3
1996.0,機車竊盜,256476.0,134863.0,52.58
1996.0,汽車竊盜,32078.0,17925.0,55.88
1996.0,總計,348879.0,171993.0,49.3
1996.0,重大竊盜,1286.0,727.0,56.53
1997.0,普通竊盜,59151.0,17585.0,29.73
1997.0,機車竊盜,223960.0,110441.0,49.31
1997.0,汽車竊盜,35824.0,19502.0,54.44
1997.0,總計,319902.0,148074.0,46.29
1997.0,重大竊盜,967.0,546.0,56.46
1998.0,普通竊盜,55445.0,16868.0,30.42
1998.0,機車竊盜,231671.0,120279.0,51.92
1998.0,汽車竊盜,46694.0,26784.0,57.36
1998.0,總計,334495.0,164354.0,49.13
1998.0,重大竊盜,685.0,423.0,61.75
1999.0,普通竊盜,45375.0,20513.0,45.21
1999.0,機車竊盜,185933.0,102969.0,55.38
1999.0,汽車竊盜,40323.0,24487.0,60.73
1999.0,總計,272355.0,148520.0,54.53
1999.0,重大竊盜,724.0,551.0,76.1
2000.0,普通竊盜,61990.0,18394.0,29.67
2000.0,機車竊盜,195357.0,95822.0,49.05
2000.0,汽車竊盜,47750.0,29775.0,62.36
2000.0,總計,305793.0,144398.0,47.22
2000.0,重大竊盜,696.0,407.0,58.48
2001.0,普通竊盜,94355.0,23885.0,25.31
2001.0,機車竊盜,191739.0,96840.0,50.51
2001.0,汽車竊盜,51377.0,33709.0,65.61
2001.0,總計,338063.0,154811.0,45.79
2001.0,重大竊盜,592.0,377.0,63.68
2002.0,普通竊盜,99889.0,34341.0,34.38
2002.0,機車竊盜,191250.0,109109.0,57.05
2002.0,汽車竊盜,48925.0,35428.0,72.41
2002.0,總計,340536.0,179164.0,52.61
2002.0,重大竊盜,472.0,286.0,60.59
2003.0,普通竊盜,99697.0,33760.0,33.86
2003.0,機車竊盜,182233.0,107664.0,59.08
2003.0,汽車竊盜,48373.0,36640.0,75.74
2003.0,總計,330655.0,178280.0,53.92
2003.0,重大竊盜,352.0,216.0,61.36
2004.0,普通竊盜,112818.0,35100.0,31.11
2004.0,機車竊盜,166457.0,106920.0,64.23
2004.0,汽車竊盜,50719.0,37064.0,73.08
2004.0,總計,330320.0,179270.0,54.27
2004.0,重大竊盜,326.0,186.0,57.06
2005.0,普通竊盜,148105.0,45715.0,30.87
2005.0,機車竊盜,130661.0,106148.0,81.24
2005.0,汽車竊盜,48992.0,35861.0,73.2
2005.0,總計,328154.0,187938.0,57.27
2005.0,重大竊盜,396.0,214.0,54.04
2006.0,普通竊盜,144513.0,48170.0,33.33
2006.0,機車竊盜,102919.0,91007.0,88.43
2006.0,汽車竊盜,33739.0,25163.0,74.58
2006.0,總計,281561.0,164557.0,58.44
2006.0,重大竊盜,390.0,217.0,55.64
2007.0,普通竊盜,118393.0,49431.0,41.75
2007.0,機車竊盜,90411.0,78121.0,86.41
2007.0,汽車竊盜,31966.0,22326.0,69.84
2007.0,總計,241091.0,150108.0,62.26
2007.0,重大竊盜,321.0,230.0,71.65
2008.0,普通竊盜,101335.0,45531.0,44.93
2008.0,機車竊盜,79213.0,68344.0,86.28
2008.0,汽車竊盜,28508.0,19723.0,69.18
2008.0,總計,209351.0,133823.0,63.92
2008.0,重大竊盜,295.0,225.0,76.27
2009.0,普通竊盜,77659.0,37983.0,48.91
2009.0,機車竊盜,57592.0,50859.0,88.31
2009.0,汽車竊盜,19697.0,13243.0,67.23
2009.0,總計,155151.0,102224.0,65.89
2009.0,重大竊盜,203.0,139.0,68.47
2010.0,普通竊盜,75820.0,37820.0,49.88
2010.0,機車竊盜,49677.0,42856.0,86.27
2010.0,汽車竊盜,17106.0,11269.0,65.88
2010.0,總計,142774.0,92076.0,64.49
2010.0,重大竊盜,171.0,131.0,76.61
2011.0,普通竊盜,67436.0,35799.0,53.09
2011.0,機車竊盜,37866.0,33662.0,88.9
2011.0,汽車竊盜,11385.0,8062.0,70.81
2011.0,總計,116831.0,77627.0,66.44
2011.0,重大竊盜,144.0,104.0,72.22
2012.0,普通竊盜,61220.0,36706.0,59.96
2012.0,機車竊盜,30346.0,27138.0,89.43
2012.0,汽車竊盜,8577.0,6414.0,74.78
2012.0,總計,100264.0,70369.0,70.18
2012.0,重大竊盜,121.0,111.0,91.74
2013.0,普通竊盜,52579.0,34760.0,66.11
2013.0,機車竊盜,23286.0,20707.0,88.92
2013.0,汽車竊盜,6535.0,4878.0,74.64
2013.0,總計,82496.0,60436.0,73.26
2013.0,重大竊盜,96.0,91.0,94.79
2014.0,普通竊盜,49476.0,36029.0,72.82
2014.0,機車竊盜,20421.0,18111.0,88.69
2014.0,汽車竊盜,6363.0,5016.0,78.83
2014.0,總計,76330.0,59223.0,77.59
2014.0,重大竊盜,70.0,67.0,95.71
2015.0,普通竊盜,43478.0,34473.0,79.29
2015.0,機車竊盜,17068.0,15802.0,92.58
2015.0,汽車竊盜,5638.0,4721.0,83.74
2015.0,總計,66255.0,55055.0,83.1
2015.0,重大竊盜,71.0,59.0,83.1
2016.0,普通竊盜,38666.0,31690.0,81.96
2016.0,機車竊盜,14403.0,13347.0,92.67
2016.0,汽車竊盜,4500.0,3822.0,84.93
2016.0,總計,57606.0,48898.0,84.88
2016.0,重大竊盜,37.0,39.0,105.41
