民國,故意殺人發生件數,擄人勒贖發生件數,強盜發生件數,搶奪發生件數,重傷害發生件數,恐嚇取財發生件數,強制性交發生件數
80,1784,126,2386,999,,2620,766
81,1540,96,1683,826,,1673,662
82,1622,106,2041,1051,,1418,872
83,1508,98,2490,1483,,1247,862
84,1765,98,4950,6720,,1817,1139
85,1798,149,4530,6846,,2143,1361
86,1712,92,3437,4732,,2197,1478
87,1341,64,3134,4222,,2191,1925
88,1269,63,2765,3563,,2019,1683
89,1132,77,2521,4729,91,27,1729
90,1072,76,3140,7819,60,35,2125
91,1156,83,3370,7880,82,35,2289
92,1057,73,2690,6546,110,45,2445
93,910,80,2500,7025,67,23,2101
94,903,65,2970,8052,45,31,2235
95,921,64,2580,6331,46,24,2260
96,881,38,1936,4123,45,24,2487
97,803,29,1497,3428,31,10,2319
98,832,18,1231,2568,37,5,2073
99,743,19,871,1686,25,9,1959
100,686,10,651,1010,28,5,1800
101,624,11,564,711,35,1,1515
102,469,8,465,536,28,- ,1019
103,474,5,388,447,25,- ,950
104,435,5,380,359,20,- ,747
