民國,合計發生件數,合計破獲件數,合計破獲率,合計嫌疑犯人數,合計犯罪率,重大竊盜發生件數,重大竊盜破獲件數,重大竊盜尚未破獲件數,重大竊盜破獲率,重大竊盜嫌疑犯人數,普通竊盜發生件數,普通竊盜破獲件數,普通竊盜尚未破獲件數,普通竊盜破獲率,普通竊盜嫌疑犯人數,汽車竊盜發生件數,汽車竊盜破獲件數,汽車竊盜尚未破獲件數,汽車竊盜破獲率,汽車竊盜嫌疑犯人數,機車竊盜發生件數,機車竊盜破獲件數,機車竊盜尚未破獲件數,機車竊盜破獲率,機車竊盜嫌疑犯人數
87,,,,,,,,,,,,,,,,,,,,,,,,,
88,272355,,,,,724,,,,,45375,,,,,40323,,,,,185933,,,,
89,305793,,,,,696,,,,,61990,,,,,47750,,,,,195357,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,
92,330655,,,,,352,,,,,99697,,,,,48373,,,,,182233,,,,
93,330320,,,,,326,,,,,112818,,,,,50719,,,,,166457,,,,
94,328154,,,,,396,,,,,148105,,,,,48992,,,,,130661,,,,
95,281561,,,,,390,,,,,144513,,,,,33739,,,,,102919,,,,
96,241091,150108,62.26,42053,1052,321,230,91,71.65,402,118393,49431,68962,41.75,33763,31966,22326,9640,69.84,2258,90411,78121,12290,86.41,5630
97,209351,133823,63.92,42364,910.3,295,225,70,76.27,398,101335,45531,55804,44.93,34043,28508,19723,8785,69.18,2597,79213,68344,10869,86.28,5326
98,155151,102224,65.89,35585,672.3,203,139,64,68.47,297,77659,37983,39676,48.91,28519,19697,13243,6454,67.23,2001,57592,50859,6733,88.31,4768
99,142774,92076,64.49,37554,617,171,131,40,76.61,245,75820,37820,38000,49.88,30353,17106,11269,5837,65.88,2287,49677,42856,6821,86.27,4669
100,116831,77627,66.44,36278,503.7,144,104,40,72.22,190,67436,35799,31637,53.09,29759,11385,8062,3323,70.81,1955,37866,33662,4204,88.9,4374
101,100264,70369,70.18,37059,430.9,121,111,10,91.74,215,61220,36706,24514,59.96,31370,8577,6414,2163,74.78,1657,30346,27138,3208,89.43,3817
102,82496,60436,73.26,33468,353.4,96,91,5,94.79,155,52579,34760,17819,66.11,28685,6535,4878,1657,74.64,1328,23286,20707,2579,88.92,3300
103,76330,59223,77.59,34574,326.1,70,67,3,95.71,116,49476,36029,13447,72.82,29357,6363,5016,1347,78.83,1725,20421,18111,2310,88.69,3376
