民國,死刑,無期徒刑,有期徒刑,拘役,罰金,免刑,無罪,免訴,不受理,其他,保安處分人數,緩刑人數,累犯人數
75,0,0,8308,372,1543,8,1062,134,174,11,538,2469,1540
76,0,0,8736,447,1361,5,1141,135,167,25,582,3584,1877
77,0,0,7357,463,827,12,914,115,127,27,889,4052,1737
78,0,0,7994,626,706,2,824,90,149,43,1062,3988,2094
79,0,0,8221,548,723,5,904,99,148,33,947,3812,2042
80,0,0,8595,612,924,6,915,85,180,8,846,4151,1982
81,0,0,10320,745,1553,9,1187,157,229,25,834,5078,2401
82,0,33,9492,729,1482,5,1402,141,225,28,709,4613,2391
83,0,0,8038,837,1320,6,1235,146,277,13,715,4031,2219
84,0,0,7682,893,1552,5,1111,125,211,31,590,3940,2122
85,0,0,9088,1099,1979,4,1083,148,256,71,713,4536,2700
86,0,0,9667,1336,2418,4,1265,165,235,11,577,4406,3203
87,0,0,8264,1144,2229,8,1123,241,259,33,599,3700,3050
88,0,0,8877,1173,2253,7,1143,171,257,77,697,4140,3184
89,0,0,9233,1304,2521,3,1180,183,317,86,901,4332,3334
90,0,0,9691,2004,1796,8,1098,189,282,49,787,3224,3500
91,0,0,9898,2812,1399,8,894,223,264,43,720,3020,3694
92,0,0,10742,3337,1468,3,846,221,308,48,601,2906,4293
93,0,0,10365,3134,1015,0,533,171,261,33,517,2026,4487
94,0,0,11755,3595,776,3,444,194,297,32,451,1890,5648
95,0,0,13188,3812,884,0,452,197,283,26,438,2019,7258
96,0,0,17015,5253,978,4,513,123,277,25,613,2281,10415
97,0,0,21058,6295,1332,9,537,101,295,23,726,2555,14692
98,0,0,15676,5478,1324,10,642,68,228,39,632,2154,11164
99,0,0,14043,5781,1442,5,463,53,240,36,682,2113,9858
100,0,0,14559,5464,1368,1,460,71,239,43,619,1944,10113
101,0,0,13497,5447,1515,9,455,54,224,48,662,1953,9156
102,0,0,12491,5494,1463,14,434,34,219,34,569,1874,8585
103,0,0,12169,6124,1617,20,437,61,248,41,586,1871,8965
