民國,死刑,無期徒刑,有期徒刑,二月未滿,二月以上六月未滿,六月以上一年未滿,一年以上二年未滿,二年以上三年未滿,三年,三年以上五年未滿,五年以上七年未滿,七年以上十年未滿,十年以上十五年以下,十五年以上,拘役,罰金,免刑,無罪,免訴,不受理,其他,保安處分人數,緩刑人數,累犯人數
75,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,
85,0,0,57,0,12,1,33,5,0,2,4,0,0,0,0,14,0,3,0,2,0,2,27,4
86,0,0,220,0,54,10,77,13,9,33,21,1,2,0,0,31,0,76,0,2,1,5,67,33
87,0,0,211,0,46,11,77,6,4,32,30,2,3,0,0,15,1,90,2,16,0,5,64,18
88,0,0,336,0,48,32,165,20,2,25,38,4,2,0,0,24,0,51,1,2,1,4,150,31
89,0,0,296,2,86,41,69,20,9,31,34,3,1,0,5,18,0,84,3,9,1,18,132,28
90,0,0,569,0,402,44,42,17,6,27,28,2,1,0,6,7,0,82,5,9,2,15,345,40
91,0,0,1239,0,1091,34,25,20,2,29,36,2,0,0,8,5,0,97,1,10,1,58,740,58
92,0,0,1251,0,1072,29,37,22,6,29,49,5,2,0,6,0,0,118,7,24,0,51,794,67
93,0,0,781,0,588,21,48,37,5,38,35,6,3,0,10,3,0,70,5,10,1,29,442,59
94,0,0,921,0,777,15,38,20,0,36,29,5,1,0,8,2,0,40,7,6,0,37,523,74
95,0,0,879,0,772,16,20,13,0,21,30,5,2,0,7,1,0,42,5,6,0,24,392,72
96,0,0,967,0,852,10,31,11,0,33,26,2,2,0,8,4,0,49,3,4,3,41,357,91
97,0,0,856,0,752,14,18,14,0,38,13,3,4,0,13,5,0,51,5,6,1,56,317,69
98,0,0,408,0,294,15,24,11,0,34,27,2,1,0,19,3,0,29,3,7,0,43,140,38
99,0,0,316,0,137,9,33,19,0,64,51,3,0,0,29,0,0,26,5,5,0,62,110,34
100,0,0,225,0,98,6,29,11,0,63,16,2,0,0,28,0,0,16,1,4,0,27,70,25
101,0,0,284,0,132,20,40,15,0,69,6,0,2,0,34,3,0,20,3,2,1,42,86,32
102,0,0,372,0,227,12,45,7,0,73,7,0,1,0,16,3,0,45,3,2,0,48,105,46
103,0,0,432,0,285,6,47,12,0,72,8,1,1,0,6,1,0,44,5,2,0,69,137,69
104,0,0,305,0,197,8,35,6,0,52,3,0,4,0,8,5,0,43,0,0,0,52,,35
