民國,死刑,無期徒刑,有期徒刑,拘役,罰金,免刑,無罪,免訴,不受理,其他,保安處分人數,緩刑人數,累犯人數
75,0,0,1301,0,0,0,127,5,24,11,39,,154
76,0,0,1184,0,0,0,133,7,15,7,56,,193
77,0,0,1053,0,0,0,2,0,0,1,0,,2
78,0,0,1058,0,0,0,137,2,32,6,140,,213
79,0,0,1273,0,0,0,138,3,10,6,123,,206
80,0,0,1460,0,0,0,213,2,24,7,95,,262
81,0,0,1255,0,0,1,269,7,37,11,95,,265
82,0,0,923,0,0,0,227,9,26,3,66,,216
83,0,0,744,0,0,0,235,5,33,1,52,,193
84,0,0,773,4,1,2,199,7,34,7,61,219,183
85,0,0,706,0,1,0,183,5,31,15,62,187,170
86,0,0,837,2,0,0,183,5,19,3,46,184,191
87,0,0,713,0,0,1,204,1,15,9,41,145,174
88,0,0,666,0,0,0,283,11,23,6,38,135,189
89,0,0,598,0,0,0,232,4,29,17,35,151,136
90,0,0,716,0,2,0,154,6,21,6,54,158,175
91,0,0,750,3,0,0,156,5,18,5,53,133,192
92,0,0,920,0,0,0,152,13,35,11,61,146,212
93,0,0,935,7,2,0,123,8,36,16,44,146,225
94,0,0,962,3,0,0,117,6,16,6,55,173,203
95,0,0,1286,9,0,0,94,15,21,8,22,174,300
96,0,0,1618,29,1,0,90,12,33,3,50,179,343
97,0,0,1581,17,3,0,137,15,33,1,53,187,299
98,0,0,1615,9,0,0,170,15,26,4,76,198,399
99,0,0,1389,8,0,0,137,15,25,1,100,219,327
100,0,0,1120,5,0,0,106,13,23,5,57,155,279
101,0,0,901,5,0,0,118,7,41,1,35,156,217
102,0,0,792,2,0,0,107,8,12,0,38,119,180
103,0,0,779,5,0,0,97,5,25,4,52,128,185
