民國,死刑,無期徒刑,有期徒刑,拘役,罰金,免刑,無罪,免訴,不受理,其他,保安處分人數,緩刑人數,累犯人數
75,1,1,2,0,0,0,1,0,0,0,0,缺,0
76,1,0,1,0,0,0,5,0,1,1,0,缺,0
77,2,0,0,0,0,0,2,0,0,1,0,缺,2
78,4,6,7,0,0,0,9,0,1,0,0,缺,1
79,4,2,0,0,0,9,2,0,2,3,0,缺,1
80,5,0,2,0,0,0,6,0,1,0,0,缺,0
81,3,1,0,0,0,0,5,0,0,0,0,缺,0
82,2,1,3,0,0,0,2,0,15,0,0,缺,0
83,3,0,2,0,0,0,4,0,2,1,0,缺,0
84,0,0,3,0,0,0,2,0,1,0,0,0,1
85,3,0,2,0,0,0,15,0,4,0,0,0,1
86,4,1,1,0,0,0,4,0,7,4,0,0,1
87,7,0,2,0,0,0,2,0,0,0,0,0,1
88,4,0,3,0,0,0,0,0,2,0,0,0,0
89,4,1,2,0,0,0,9,0,6,0,0,0,1
90,0,1,9,0,0,0,2,0,2,0,0,0,3
91,1,3,56,0,0,0,6,0,4,0,0,1,11
92,0,2,76,0,0,0,8,0,1,3,0,0,7
93,2,1,67,0,0,0,5,0,4,1,0,0,6
94,0,6,72,0,0,0,5,0,1,1,4,6,6
95,0,1,94,0,0,0,8,0,1,1,0,0,13
96,0,2,106,0,0,0,3,0,3,1,0,1,21
97,0,10,81,0,0,0,11,1,2,2,2,2,11
98,0,1,65,0,0,0,1,1,5,0,4,4,10
99,2,2,52,0,0,0,2,0,0,3,0,0,14
100,0,2,45,0,0,0,6,0,1,1,0,0,8
101,0,0,33,0,0,0,1,5,1,0,0,0,7
102,0,1,17,0,0,2,1,0,0,0,1,1,1
103,0,0,23,0,0,0,0,1,0,0,0,0,3
