民國,死刑,無期徒刑,有期徒刑,拘役,罰金,免刑,無罪,免訴,不受理,其他,保安處分人數,緩刑人數,累犯人數
75,0,0,1960,68,98,1,140,4,23,74,9,缺,175
76,0,5,1469,55,91,1,106,1,10,10,9,缺,153
77,0,0,1325,71,71,0,131,4,10,0,78,缺,152
78,0,73,1549,92,42,0,147,8,12,0,82,缺,224
79,0,6,1562,102,67,1,228,16,22,5,64,缺,252
80,0,1,1360,101,56,7,242,10,27,3,28,缺,254
81,0,1,1682,92,46,11,273,15,16,8,36,缺,345
82,0,0,2955,284,128,7,419,13,17,2,36,缺,604
83,0,0,2668,322,176,6,289,17,21,4,22,缺,573
84,0,0,2155,260,100,4,221,8,15,2,46,433,563
85,0,0,2117,229,89,4,189,12,15,2,26,415,569
86,0,0,2613,326,81,14,223,18,P,4,20,390,777
87,0,0,1858,254,66,45,247,15,25,15,677,319,652
88,0,1,2014,327,76,70,225,21,20,44,328,484,718
89,0,0,1832,298,77,126,216,14,18,44,180,425,614
90,0,1,1734,201,34,53,204,8,20,57,224,344,559
91,0,1,1353,106,11,6,167,29,23,50,133,254,409
92,0,1,1236,73,13,6,143,11,19,4,45,228,362
93,0,1,1670,65,15,8,136,16,21,1,81,336,453
94,0,0,2000,78,16,18,143,9,25,6,100,361,525
95,0,3,2188,54,26,6,173,18,32,5,61,222,663
96,0,1,2163,31,14,5,129,9,25,12,107,302,564
97,0,0,2084,45,7,4,149,9,24,2,99,313,563
98,0,0,1709,59,8,7,164,20,18,6,104,335,503
99,0,0,1582,49,4,1,119,16,19,6,143,302,451
100,0,2,1451,46,5,0,103,16,31,5,112,233,462
101,0,1,1440,35,5,4,99,8,21,8,113,230,443
102,0,1,1218,40,5,1,84,7,16,3,87,197,374
103,0,0,1206,10,5,0,94,14,18,0,87,181,362
