民國,死刑,無期徒刑,有期徒刑,拘役,罰金,免刑,無罪,免訴,不受理,其他,保安處分人數,緩刑人數,累犯人數
75,5,56,1065,0,0,2,192,7,39,1,15,39,110
76,5,63,989,0,0,0,180,13,46,3,20,48,121
77,5,53,1165,0,0,0,236,6,36,3,55,91,129
78,16,54,796,0,0,0,182,8,54,5,31,61,1438
79,19,79,765,0,0,0,181,7,47,9,41,38,165
80,18,37,894,0,0,0,158,13,65,8,37,31,140
81,11,56,727,0,0,1,171,16,76,12,39,0,134
82,3,51,557,0,0,1,110,5,53,3,34,19,111
83,3,56,606,0,0,1,128,8,78,2,54,56,104
84,4,34,728,0,0,0,111,10,86,31,50,44,94
85,11,56,647,0,0,0,96,7,124,46,51,40,138
86,14,66,701,0,0,1,123,10,91,57,67,45,113
87,13,84,479,0,0,3,92,0,46,5,56,26,109
88,3,65,592,0,0,0,117,3,84,6,57,22,105
89,7,52,480,0,0,0,101,3,66,12,55,21,89
90,6,51,480,0,0,0,130,5,67,8,63,28,76
91,2,42,457,0,0,0,79,5,75,18,51,22,69
92,2,48,478,0,0,3,84,3,83,11,49,18,72
93,1,34,416,1,0,2,72,7,48,9,59,25,54
94,1,27,394,0,0,1,73,4,36,5,44,18,52
95,3,39,437,2,0,0,57,7,42,9,50,29,69
96,0,25,429,0,0,1,53,5,48,11,44,18,52
97,0,40,450,0,0,1,71,7,52,15,69,28,63
98,0,34,399,0,0,1,39,12,43,20,52,19,88
99,2,24,403,0,0,2,58,8,41,9,49,18,68
100,2,24,359,0,0,0,61,13,35,14,52,9,66
101,1,30,333,0,0,1,36,5,45,9,48,17,55
102,9,24,276,0,0,1,26,2,36,19,63,22,45
103,1,17,255,0,0,4,26,15,43,43,46,17,45
