民國,死刑,無期徒刑,有期徒刑,二月未滿,二月以上六月未滿,六月以上一年未滿,一年以上二年未滿,二年以上三年未滿,三年,三年以上五年未滿,五年以上七年未滿,七年以上十年未滿,十年以上十五年以下,十五年以上,拘役,罰金,免刑,無罪,免訴,不受理,其他,保安處分人數,緩刑人數,累犯人數
75,0,21,2774,1,722,603,141,70,89,675,282,30,155,6,1,4,4,102,44,38,1,4,29,1111
76,0,20,3005,0,787,759,112,68,96,762,259,45,114,3,14,11,4,52,31,30,0,3,66,1382
77,0,4,2670,1,749,467,135,171,119,686,194,40,101,7,17,1,2,69,26,23,0,29,100,1278
78,0,12,2975,0,366,325,134,245,112,1374,248,37,132,2,3,1,6,86,25,55,2,20,62,1838
79,0,21,3288,0,145,170,130,313,194,1788,237,47,259,5,5,2,11,109,39,48,4,24,68,1894
80,0,34,14134,20,9090,1228,247,593,210,1789,662,46,246,3,330,180,7,222,62,111,24,541,2006,2455
81,0,40,27516,3,17576,2355,410,912,689,3475,1518,104,473,1,482,117,18,519,199,305,31,685,1997,4730
82,1,126,46986,1,25758,5191,856,1512,1448,9088,2225,322,584,1,659,46,19,912,452,612,23,995,2814,10134
83,1,209,42869,1,19028,4833,682,1503,1548,11812,2200,449,809,4,496,21,12,1291,567,726,28,590,1704,11845
84,2,175,30939,1,13781,3704,516,1007,871,8349,1669,324,714,3,429,6,4,1036,433,521,22,299,998,10252
85,0,123,25893,0,13224,3956,382,643,406,5197,1381,230,469,5,460,14,5,767,314,406,32,218,680,10084
86,2,99,31219,2,17215,4857,499,594,329,5713,1455,179,372,4,707,13,9,767,375,519,18,180,692,12940
87,2,52,15524,2,8150,2219,272,372,179,3017,974,109,228,2,441,23,3943,703,310,1464,87,115,339,8133
88,3,68,5193,57,2227,1110,343,132,65,159,650,272,177,1,109,18,3047,662,98,302,74,87,171,3502
89,0,38,10970,0,5890,3187,760,102,33,152,299,381,165,1,160,19,2001,625,99,240,52,56,215,5809
90,1,53,12669,1,5641,4948,1110,97,26,134,218,362,132,0,142,14,620,511,121,235,25,63,179,5931
91,1,38,11365,0,3893,5500,1254,73,15,97,117,283,132,1,253,7,188,408,116,169,32,56,170,5491
92,0,37,12063,1,3657,6059,1581,72,13,122,96,286,176,0,423,24,123,415,98,179,29,64,237,5869
93,0,43,14193,1,4717,6646,1945,84,18,96,107,319,259,1,314,15,56,340,109,483,10,80,257,6557
94,0,35,22039,0,7149,10248,3624,109,0,150,117,365,227,50,393,17,42,286,181,493,12,129,237,11132
95,0,65,23855,0,6992,10857,4615,102,0,181,168,565,324,51,559,11,39,305,245,544,13,97,169,13924
96,0,47,26336,0,9893,11397,3464,111,0,220,158,563,444,86,753,24,21,413,326,546,18,98,172,16832
97,0,39,40153,0,13140,20848,4090,127,0,284,246,577,417,424,881,14,9,555,163,618,16,159,194,29011
98,0,28,25740,0,11391,9390,2808,199,0,346,234,558,291,523,945,22,7,748,116,370,35,194,249,25546
99,0,14,34534,0,15273,13630,2351,438,0,734,300,858,284,666,876,12,8,796,78,355,13,282,379,21359
100,0,10,35757,0,16609,12415,2539,643,0,1137,377,1104,256,677,642,9,7,787,76,382,18,351,420,21362
101,0,12,35648,0,16626,12045,2627,721,0,1321,378,1157,205,568,720,10,1,865,61,360,17,418,533,20527
102,0,14,35198,0,18238,10306,2402,825,0,1385,292,1169,116,465,850,17,2,789,64,316,23,447,634,19379
103,0,7,33877,0,19341,8549,2241,761,0,1231,237,1081,66,370,735,16,5,710,56,349,21,455,626,19226
104,0,4,35231,0,21544,8559,2109,641,0,1079,211,788,66,234,660,10,5,666,73,371,28,348,0,21485
