民國,死刑,無期徒刑,有期徒刑,拘役,罰金,免刑,無罪,免訴,不受理,其他,保安處分人數,緩刑人數,累犯人數
75,0,0,82,0,0,0,56,3,51,26,0,15,1
76,0,0,68,0,0,0,60,43,105,31,1,13,5
77,0,0,50,0,0,1,53,1,145,14,0,21,2
78,0,0,49,1,0,1,77,0,136,13,0,15,5
79,0,0,40,0,2,2,68,4,163,59,0,25,3
80,0,0,57,1,1,0,41,5,164,19,0,24,0
81,0,0,39,2,0,0,38,1,167,39,0,13,1
82,0,0,39,0,0,0,57,1,268,56,0,26,0
83,0,0,21,0,0,0,69,2,155,99,0,14,0
84,0,0,24,0,1,0,80,3,153,336,0,13,1
85,0,0,31,0,4,0,94,6,252,66,0,25,0
86,0,0,81,0,0,0,88,2,249,28,0,45,1
87,0,0,37,0,0,0,31,0,183,33,0,12,0
88,0,0,13,3,0,0,41,0,284,90,1,12,3
89,0,0,43,1,0,0,75,6,377,33,0,9,0
90,0,0,17,0,0,0,45,1,236,39,1,8,0
91,0,0,26,0,0,0,58,8,304,35,0,7,0
92,0,0,31,1,0,0,92,7,404,32,0,11,2
93,0,0,27,0,0,0,29,11,385,20,0,13,11
94,0,0,17,1,0,0,12,0,115,3,0,4,0
95,0,0,27,0,0,0,14,1,155,1,1,10,1
96,0,0,38,3,0,0,23,3,110,5,4,29,0
97,0,0,28,1,0,0,50,1,128,6,1,15,0
98,0,0,41,2,0,0,13,4,61,0,0,20,0
99,0,0,38,1,0,0,29,0,125,0,3,16,0
100,0,0,37,5,0,0,17,4,143,0,4,12,1
101,0,0,43,3,1,0,11,0,55,1,2,18,0
102,0,0,29,3,0,0,15,0,64,1,0,9,0
103,0,0,37,3,0,0,24,0,60,3,2,15,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
