チ瓣,セ磅︽计,┏痙菏计,穝┮计,セ┮计,セ┮计,セ┏痙┮计
88,24942,5362,13490,19580,16813,8129
89,34484,8129,15705,26355,24201,10283
90,32309,10283,12294,22026,23824,8485
91,27473,8485,10920,18988,18705,8768
92,26980,8768,11022,18212,18443,8537
93,12522,8537,2638,3985,10603,1919
94,6039,1919,3161,4120,3968,2071
95,6687,2071,2830,4616,4524,2163
96,8625,2163,3510,6462,5776,2849
97,6645,2849,3396,3796,4146,2499
98,4688,2499,1972,2189,3382,1306
99," 4,693"," 1,306"," 1,470"," 1,917"," 2,212"," 1,011"
100," 3,582"," 1,011"," 1,094"," 1,477"," 1,754", 734
101," 2,411", 734, 793, 884," 1,046", 572
102," 1,974", 572, 664, 738, 836, 474
103," 1,769", 474, 609, 686, 730, 430
